CID,BDATE,GEN
NASAW00013279,1997-11-09,Female
NASAW00013280,1989-10-13,Female
NASAW00013281,1974-09-22,Male
NASAW00013282,2007-01-01,Female
NASAW00013283,1988-08-09,Male
NASAW00013284,1997-11-10,Female
NASAW00013285,1962-03-09,Female
NASAW00013286,1999-04-25,Female
NASAW00013287,1997-10-23,Male
NASAW00013288,1988-12-23,Male
NASAW00013289,1999-03-11,Female
NASAW00013290,1970-06-21,Male
NASAW00013291,1994-07-10,Female
NASAW00013292,1972-10-19,Female
NASAW00013293,1995-05-24,Female
NASAW00013294,1992-01-07,Female
NASAW00013295,1970-09-24,Female
NASAW00013296,1997-08-27,Male
NASAW00013297,1997-04-20,Male
NASAW00013298,1967-04-04,Female
NASAW00013299,1975-10-13,Female
NASAW00013300,1963-09-04,Male
NASAW00013301,1992-04-26,Female
NASAW00013302,2007-07-11,Male
NASAW00013303,2003-06-28,Male
NASAW00013304,1992-08-04,Female
NASAW00013305,2006-07-28,Male
NASAW00013306,1986-08-20,Female
NASAW00013307,1990-03-28,Female
NASAW00013308,1963-04-16,Female
NASAW00013309,1989-01-17,Female
NASAW00013310,1999-08-28,Male
NASAW00013311,1965-04-25,Female
NASAW00013312,1995-06-15,Female
NASAW00013313,1992-08-14,Female
NASAW00013314,1986-07-02,Male
NASAW00013315,1980-06-22,Male
NASAW00013316,1994-07-22,Male
NASAW00013317,1978-05-11,Male
NASAW00013318,1981-09-13,Female
NASAW00013319,1967-02-26,Male
NASAW00013320,2005-05-29,Female
NASAW00013321,1984-11-17,Female
NASAW00013322,1992-03-16,Female
NASAW00013323,1981-03-12,Male
NASAW00013324,1984-12-01,Female
NASAW00013325,2000-10-30,Male
NASAW00013326,1957-12-09,Male
NASAW00013327,1975-08-05,Female
NASAW00013328,2002-05-18,Male
NASAW00013329,2008-03-23,Male
NASAW00013330,1999-09-30,Female
NASAW00013331,1995-04-26,Female
NASAW00013332,1982-03-27,Male
NASAW00013333,1984-03-20,Female
NASAW00013334,1983-11-05,Female
NASAW00013335,1975-11-06,Female
NASAW00013336,2000-06-26,Female
NASAW00013337,2005-10-26,Female
NASAW00013338,1979-06-15,Female
NASAW00013339,1972-11-18,Female
NASAW00013340,2003-11-28,Female
NASAW00013341,1985-01-28,Male
NASAW00013342,1981-08-23,Male
NASAW00013343,1983-02-25,Female
NASAW00013344,1983-07-28,Female
NASAW00013345,1990-11-08,Male
NASAW00013346,1997-08-27,Male
NASAW00013347,1988-02-28,Female
NASAW00013348,2002-10-15,Male
NASAW00013349,1986-12-14,Female
NASAW00013350,2005-01-24,Male
NASAW00013351,2007-03-13,Female
NASAW00013352,1999-06-16,Male
NASAW00013353,2007-10-01,Female
NASAW00013354,1996-03-17,Male
NASAW00013355,1998-03-15,Male
NASAW00013356,1991-08-26,Female
NASAW00013357,1975-05-22,Male
NASAW00013358,1981-08-14,Female
NASAW00013359,1999-01-24,Male
NASAW00013360,1991-07-17,Female
NASAW00013361,1963-11-19,Male
NASAW00013362,1990-07-08,Female
NASAW00013363,1996-10-08,Female
NASAW00013364,1999-09-20,Female
NASAW00013365,1966-06-17,Male
NASAW00013366,2001-03-03,Male
NASAW00013367,1961-10-19,Female
NASAW00013368,1979-08-24,Male
NASAW00013369,2007-10-04,Female
NASAW00013370,1998-04-26,Male
NASAW00013371,1991-08-20,Female
NASAW00013372,1981-06-21,Male
NASAW00013373,2000-01-07,Female
NASAW00013374,1984-11-23,Male
NASAW00013375,1987-10-10,Male
NASAW00013376,2004-01-18,Male
NASAW00013377,1991-01-09,Male
NASAW00013378,1982-12-28,Female
NASAW00013379,2007-04-15,Female
NASAW00013380,1989-12-07,Female
NASAW00013381,1998-10-15,Female
NASAW00013382,1980-11-20,Male
NASAW00013383,1996-10-24,Female
NASAW00013384,1988-09-15,Male
NASAW00013385,1990-10-06,Female
NASAW00013386,1987-06-02,Male
NASAW00013387,1974-05-19,Female
NASAW00013388,1988-03-07,Male
NASAW00013389,1985-05-21,Female
NASAW00013390,2007-12-10,Female
NASAW00013391,1988-04-02,Female
NASAW00013392,1995-11-20,Male
NASAW00013393,1977-06-21,Male
NASAW00013394,1965-03-01,Male
NASAW00013395,1992-04-18,Male
NASAW00013396,1990-12-26,Male
NASAW00013397,1974-06-06,Male
NASAW00013398,1984-02-02,Male
NASAW00013399,2003-09-14,Male
NASAW00013400,1981-08-19,Female
NASAW00013401,1979-06-01,Female
NASAW00013402,2001-10-23,Male
NASAW00013403,1992-12-17,Female
NASAW00013404,1994-08-04,Male
NASAW00013405,1974-06-16,Male
NASAW00013406,1995-01-18,Male
NASAW00013407,2007-07-05,Female
NASAW00013408,1978-11-10,Female
NASAW00013409,2001-07-23,Male
NASAW00013410,1998-12-15,Female
NASAW00013411,1984-12-10,Female
NASAW00013412,1995-09-10,Male
NASAW00013413,1972-08-25,Male
NASAW00013414,1971-10-25,Male
NASAW00013415,1974-12-31,Male
NASAW00013416,1995-09-01,Male
NASAW00013417,1995-10-02,Male
NASAW00013418,1994-01-13,Male
NASAW00013419,1995-07-14,Female
NASAW00013420,1953-06-28,Female
NASAW00013421,1984-04-11,Female
NASAW00013422,1975-04-27,Female
NASAW00013423,1967-03-04,Male
NASAW00013424,1973-05-19,Female
NASAW00013425,1998-01-16,Male
NASAW00013426,1969-01-04,Female
NASAW00013427,1988-04-09,Male
NASAW00013428,2005-06-09,Male
NASAW00013429,2005-05-31,Female
NASAW00013430,1973-03-18,Male
NASAW00013431,1999-05-14,Male
NASAW00013432,1974-02-13,Male
NASAW00013433,2008-02-06,Female
NASAW00013434,1991-09-03,Female
NASAW00013435,1968-12-11,Female
NASAW00013436,1994-07-12,Female
NASAW00013437,1970-09-15,Male
NASAW00013438,1993-08-05,Female
NASAW00013439,2005-10-16,Male
NASAW00013440,2000-01-19,Female
NASAW00013441,1983-04-28,Male
NASAW00013442,1972-06-09,Female
NASAW00013443,1981-05-27,Female
NASAW00013444,1990-07-14,Female
NASAW00013445,1990-05-03,Male
NASAW00013446,1989-09-24,Female
NASAW00013447,2003-07-17,Female
NASAW00013448,2006-12-02,Female
NASAW00013449,1979-03-14,Male
NASAW00013450,1989-08-25,Female
NASAW00013451,1987-12-26,Female
NASAW00013452,2007-08-07,Female
NASAW00013453,1991-09-30,Female
NASAW00013454,1996-02-03,Male
NASAW00013455,1983-05-28,Female
NASAW00013456,1987-02-26,Female
NASAW00013457,1984-03-16,Male
NASAW00013458,1983-12-08,Female
NASAW00013459,1996-12-06,Male
NASAW00013460,1977-10-10,Female
NASAW00013461,1993-12-14,Male
NASAW00013462,1988-03-17,Male
NASAW00013463,1982-04-15,Female
NASAW00013464,1991-05-04,Female
NASAW00013465,1981-06-29,Female
NASAW00013466,1987-03-14,Male
NASAW00013467,1993-10-04,Male
NASAW00013468,2007-10-22,Female
NASAW00013469,1988-12-08,Male
NASAW00013470,1991-10-28,Female
NASAW00013471,1988-08-06,Male
NASAW00013472,1987-11-08,Male
NASAW00013473,1962-11-29,Male
NASAW00013474,1979-03-19,Female
NASAW00013475,2000-10-02,Male
NASAW00013476,1966-02-07,Male
NASAW00013477,1992-06-03,Female
NASAW00013478,2002-04-29,Female
NASAW00013479,1986-10-30,Female
NASAW00013480,1998-10-22,Female
NASAW00013481,1982-12-26,Male
NASAW00013482,1999-10-28,Female
NASAW00013483,1998-10-09,Male
NASAW00013484,1981-01-03,Male
NASAW00013485,1997-04-03,Male
NASAW00013486,1988-05-05,Female
NASAW00013487,1993-02-08,Female
NASAW00013488,1991-04-28,Female
NASAW00013489,1977-08-23,Female
NASAW00013490,1987-01-10,Male
NASAW00013491,1999-02-13,Female
NASAW00013492,2001-07-07,Male
NASAW00013493,1999-01-24,Female
NASAW00013494,1969-07-26,Male
NASAW00013495,1989-11-28,Male
NASAW00013496,1962-05-13,Male
NASAW00013497,1966-07-09,Female
NASAW00013498,1986-05-02,Male
NASAW00013499,1989-07-21,Female
NASAW00013500,1991-02-04,Female
NASAW00013501,2001-06-24,Male
NASAW00013502,1997-11-06,Female
NASAW00013503,1993-07-20,Male
NASAW00013504,1993-05-18,Female
NASAW00013505,1999-08-16,Female
NASAW00013506,1973-10-26,Male
NASAW00013507,2006-01-31,Female
NASAW00013508,1998-04-23,Female
NASAW00013509,1989-03-19,Male
NASAW00013510,1994-07-30,Male
NASAW00013511,1993-10-15,Male
NASAW00013512,1976-11-15,Female
NASAW00013513,2001-01-06,Female
NASAW00013514,1986-04-12,Female
NASAW00013515,1983-11-14,Female
NASAW00013516,1998-11-14,Male
NASAW00013517,1993-02-04,Male
NASAW00013518,1967-09-08,Male
NASAW00013519,1994-09-11,Male
NASAW00013520,2007-12-13,Female
NASAW00013521,2001-05-21,Female
NASAW00013522,1994-07-27,Male
NASAW00013523,1993-08-07,Female
NASAW00013524,2008-03-14,Female
NASAW00013525,1988-08-15,Female
NASAW00013526,1972-08-29,Female
NASAW00013527,1991-09-09,Female
NASAW00013528,1982-10-14,Female
NASAW00013529,2000-02-08,Female
NASAW00013530,1987-11-16,Female
NASAW00013531,1998-01-17,Male
NASAW00013532,1976-11-29,Female
NASAW00013533,1997-11-09,Male
NASAW00013534,1977-07-28,Female
NASAW00013535,1971-09-29,Male
NASAW00013536,1984-09-26,Female
NASAW00013537,1975-04-28,Female
NASAW00013538,1982-02-06,Female
NASAW00013539,1992-09-28,Male
NASAW00013540,1988-11-23,Female
NASAW00013541,1966-08-09,Female
NASAW00013542,1978-05-21,Female
NASAW00013543,1979-04-15,Male
NASAW00013544,1993-03-25,Female
NASAW00013545,1999-10-07,Male
NASAW00013546,2002-01-06,Male
NASAW00013547,1992-06-26,Female
NASAW00013548,1990-05-17,Female
NASAW00013549,1986-04-17,Male
NASAW00013550,1995-08-22,Male
NASAW00013551,1989-11-08,Male
NASAW00013552,1990-01-24,Male
NASAW00013553,1978-03-01,Female
NASAW00013554,1983-09-14,Female
NASAW00013555,1991-10-28,Female
NASAW00013556,1992-07-19,Female
NASAW00013557,1980-07-23,Female
NASAW00013558,1993-10-25,Female
NASAW00013559,1992-08-30,Female
NASAW00013560,1965-03-06,Male
NASAW00013561,1988-01-18,Male
NASAW00013562,1958-03-09,Male
NASAW00013563,1976-12-17,Male
NASAW00013564,1985-10-17,Female
NASAW00013565,1989-11-09,Female
NASAW00013566,1985-12-30,Female
NASAW00013567,1994-02-19,Female
NASAW00013568,1964-10-08,Male
NASAW00013569,1979-07-12,Male
NASAW00013570,2000-04-24,Male
NASAW00013571,1974-06-30,Male
NASAW00013572,1987-07-17,Male
NASAW00013573,1993-11-08,Male
NASAW00013574,1984-01-20,Female
NASAW00013575,1971-01-19,Female
NASAW00013576,1972-10-10,Female
NASAW00013577,2003-12-14,Male
NASAW00013578,1980-05-17,Male
NASAW00013579,1988-01-30,Male
NASAW00013580,1981-09-22,Female
NASAW00013581,1985-01-31,Male
NASAW00013582,1977-03-24,Female
NASAW00013583,1994-06-16,Male
NASAW00013584,1988-03-11,Male
NASAW00013585,1998-08-03,Female
NASAW00013586,1987-05-26,Male
NASAW00013587,1987-07-22,Female
NASAW00013588,1984-03-04,Female
NASAW00013589,1979-06-02,Male
NASAW00013590,1994-12-02,Male
NASAW00013591,1998-08-02,Female
NASAW00013592,1968-10-10,Female
NASAW00013593,1976-05-19,Female
NASAW00013594,1972-06-13,Female
NASAW00013595,1997-07-30,Male
NASAW00013596,1991-03-30,Male
NASAW00013597,1982-06-03,Male
NASAW00013598,1963-06-12,Male
NASAW00013599,2005-07-20,Female
NASAW00013600,1976-10-14,Female
NASAW00013601,1997-04-21,Female
NASAW00013602,1997-11-07,Female
NASAW00013603,1991-11-29,Female
NASAW00013604,2007-04-25,Male
NASAW00013605,1984-10-18,Male
NASAW00013606,1984-12-13,Male
NASAW00013607,1976-04-24,Male
NASAW00013608,1991-12-27,Female
NASAW00013609,1971-09-06,Male
NASAW00013610,2008-02-17,Male
NASAW00013611,1972-02-03,Male
NASAW00013612,1992-12-29,Female
NASAW00013613,2006-11-13,Male
NASAW00013614,1996-03-26,Female
NASAW00013615,2004-12-21,Female
NASAW00013616,1982-01-31,Male
NASAW00013617,1993-04-02,Male
NASAW00013618,1997-11-24,Male
NASAW00013619,1996-09-24,Male
NASAW00013620,1979-11-24,Male
NASAW00013621,1976-04-28,Female
NASAW00013622,1993-07-07,Male
NASAW00013623,2006-04-22,Male
NASAW00013624,1984-09-18,Female
NASAW00013625,1996-04-24,Male
NASAW00013626,1989-08-25,Male
NASAW00013627,1993-08-19,Female
NASAW00013628,1963-09-11,Female
NASAW00013629,1987-04-19,Female
NASAW00013630,1988-10-05,Female
NASAW00013631,1995-08-24,Male
NASAW00013632,2007-09-04,Female
NASAW00013633,1993-01-20,Male
NASAW00013634,1988-10-05,Female
NASAW00013635,1989-01-09,Male
NASAW00013636,1981-05-09,Male
NASAW00013637,1986-02-14,Female
NASAW00013638,1968-01-24,Female
NASAW00013639,1976-05-03,Male
NASAW00013640,1955-09-11,Female
NASAW00013641,2001-12-28,Male
NASAW00013642,1970-03-21,Female
NASAW00013643,1987-07-09,Male
NASAW00013644,1980-11-26,Female
NASAW00013645,1981-10-15,Male
NASAW00013646,1968-12-02,Male
NASAW00013647,1992-03-15,Male
NASAW00013648,1991-03-08,Male
NASAW00013649,1963-09-09,Female
NASAW00013650,1972-05-23,Male
NASAW00013651,1976-07-17,Male
NASAW00013652,1986-01-01,Female
NASAW00013653,2002-09-29,Male
NASAW00013654,1999-08-04,Male
NASAW00013655,1992-04-09,Male
NASAW00013656,1984-01-27,Female
NASAW00013657,2006-08-25,Female
NASAW00013658,2002-08-25,Male
NASAW00013659,1957-04-04,Male
NASAW00013660,2005-12-28,Male
NASAW00013661,1992-12-22,Male
NASAW00013662,1974-01-26,Male
NASAW00013663,1991-01-31,Male
NASAW00013664,1983-08-21,Male
NASAW00013665,2000-12-24,Female
NASAW00013666,2005-02-16,Female
NASAW00013667,1978-04-25,Male
NASAW00013668,1979-05-14,Male
NASAW00013669,1991-07-24,Female
NASAW00013670,1959-08-24,Female
NASAW00013671,1983-10-26,Male
NASAW00013672,2005-04-11,Male
NASAW00013673,1996-01-26,Female
NASAW00013674,1980-07-31,Male
NASAW00013675,1988-09-19,Male
NASAW00013676,1993-11-02,Male
NASAW00013677,1985-03-18,Female
NASAW00013678,2001-06-09,Male
NASAW00013679,1981-11-18,Female
NASAW00013680,2008-01-28,Female
NASAW00013681,1981-10-04,Male
NASAW00013682,1985-01-14,Male
NASAW00013683,1968-08-01,Female
NASAW00013684,2002-09-30,Male
NASAW00013685,1984-01-21,Female
NASAW00013686,1986-01-06,Male
NASAW00013687,1991-01-10,Male
NASAW00013688,1960-07-23,Male
NASAW00013689,1994-09-14,Female
NASAW00013690,2002-01-19,Female
NASAW00013691,1971-04-25,Female
NASAW00013692,1996-02-01,Male
NASAW00013693,1999-12-20,Male
NASAW00013694,2002-07-01,Female
NASAW00013695,1996-01-12,Male
NASAW00013696,1986-05-01,Female
NASAW00013697,2008-01-22,Male
NASAW00013698,1980-02-24,Female
NASAW00013699,1982-07-02,Female
NASAW00013700,1984-02-27,Male
NASAW00013701,1992-03-02,Female
NASAW00013702,1969-08-30,Female
NASAW00013703,1993-07-02,Female
NASAW00013704,1992-05-08,Female
NASAW00013705,1975-11-26,Male
NASAW00013706,2008-02-24,Female
NASAW00013707,1984-11-05,Male
NASAW00013708,2000-11-03,Female
NASAW00013709,1989-07-09,Male
NASAW00013710,2000-03-23,Female
NASAW00013711,1975-10-19,Male
NASAW00013712,1992-05-22,Female
NASAW00013713,1983-11-05,Male
NASAW00013714,1976-10-27,Female
NASAW00013715,1997-03-23,Male
NASAW00013716,1995-09-15,Male
NASAW00013717,1990-11-23,Female
NASAW00013718,1984-01-12,Male
NASAW00013719,1998-05-26,Male
NASAW00013720,1992-10-10,Male
NASAW00013721,1991-08-24,Male
NASAW00013722,1993-09-26,Male
NASAW00013723,1978-04-25,Male
NASAW00013724,1994-12-05,Male
NASAW00013725,2001-06-25,Male
NASAW00013726,1990-10-01,Male
NASAW00013727,2002-11-23,Female
NASAW00013728,1999-06-11,Female
NASAW00013729,1998-05-09,Male
NASAW00013730,1994-09-10,Male
NASAW00013731,1981-11-10,Female
NASAW00013732,1985-08-22,Female
NASAW00013733,1997-06-04,Female
NASAW00013734,1982-10-11,Female
NASAW00013735,1995-11-15,Male
NASAW00013736,1986-10-18,Male
NASAW00013737,1993-06-29,Male
NASAW00013738,1994-06-21,Male
NASAW00013739,1999-07-24,Male
NASAW00013740,2004-08-18,Female
NASAW00013741,1967-05-17,Female
NASAW00013742,1981-05-02,Male
NASAW00013743,1966-10-07,Female
NASAW00013744,2006-07-12,Male
NASAW00013745,1963-07-16,Male
NASAW00013746,1972-10-11,Female
NASAW00013747,1990-11-28,Male
NASAW00013748,1974-03-09,Male
NASAW00013749,1970-06-05,Male
NASAW00013750,1993-05-23,Male
NASAW00013751,1990-07-24,Female
NASAW00013752,1973-09-04,Female
NASAW00013753,1980-01-21,Female
NASAW00013754,1978-04-20,Female
NASAW00013755,1997-04-17,Male
NASAW00013756,1995-09-25,Female
NASAW00013757,1971-04-21,Female
NASAW00013758,1996-12-10,Female
NASAW00013759,1970-10-14,Male
NASAW00013760,1985-11-27,Male
NASAW00013761,2000-01-04,Male
NASAW00013762,1992-05-30,Male
NASAW00013763,1985-07-10,Female
NASAW00013764,1981-12-11,Female
NASAW00013765,1976-11-25,Male
NASAW00013766,2002-01-14,Male
NASAW00013767,2000-04-25,Female
NASAW00013768,1987-05-20,Male
NASAW00013769,1996-10-25,Male
NASAW00013770,1960-06-12,Male
NASAW00013771,1989-12-21,Male
NASAW00013772,1976-06-09,Female
NASAW00013773,2001-04-13,Female
NASAW00013774,1974-06-23,Male
NASAW00013775,1982-07-17,Female
NASAW00013776,1982-01-05,Male
NASAW00013777,1987-03-11,Male
NASAW00013778,1974-06-01,Male
NASAW00013779,1963-09-30,Male
NASAW00013780,2007-08-25,Female
NASAW00013781,1982-03-06,Female
NASAW00013782,1986-08-04,Female
NASAW00013783,1978-08-29,Male
NASAW00013784,2007-06-16,Male
NASAW00013785,1988-09-02,Male
NASAW00013786,1991-05-08,Male
NASAW00013787,1969-07-16,Male
NASAW00013788,1995-04-18,Female
NASAW00013789,1999-03-17,Female
NASAW00013790,1971-05-26,Female
NASAW00013791,1997-05-13,Female
NASAW00013792,1979-04-21,Male
NASAW00013793,1981-02-22,Male
NASAW00013794,1991-11-28,Female
NASAW00013795,2004-08-04,Male
NASAW00013796,1995-09-27,Female
NASAW00013797,1988-01-10,Male
NASAW00013798,1977-11-25,Female
NASAW00013799,2007-06-26,Male
NASAW00013800,1991-09-02,Male
NASAW00013801,1981-09-23,Female
NASAW00013802,1991-03-11,Female
NASAW00013803,1987-06-12,Female
NASAW00013804,1979-07-18,Female
NASAW00013805,1977-12-19,Male
NASAW00013806,1975-11-02,Male
NASAW00013807,1992-12-04,Male
NASAW00013808,1981-12-21,Male
NASAW00013809,1988-05-10,Female
NASAW00013810,1998-05-04,Female
NASAW00013811,1997-04-13,Female
NASAW00013812,1993-10-09,Female
NASAW00013813,1973-05-25,Female
NASAW00013814,1985-09-10,Female
NASAW00013815,2002-10-02,Female
NASAW00013816,1973-11-24,Female
NASAW00013817,1978-10-22,Female
NASAW00013818,1983-12-24,Female
NASAW00013819,1991-06-16,Male
NASAW00013820,1992-12-19,Male
NASAW00013821,2007-08-06,Male
NASAW00013822,2001-09-19,Male
NASAW00013823,1998-06-07,Female
NASAW00013824,1972-06-28,Female
NASAW00013825,1991-05-03,Male
NASAW00013826,1997-03-10,Female
NASAW00013827,2000-10-05,Male
NASAW00013828,1982-05-26,Female
NASAW00013829,1996-11-28,Male
NASAW00013830,1986-07-15,Female
NASAW00013831,1990-12-22,Male
NASAW00013832,1992-05-22,Female
NASAW00013833,1995-02-25,Male
NASAW00013834,1977-12-21,Female
NASAW00013835,2002-09-16,Female
NASAW00013836,1957-08-07,Male
NASAW00013837,1974-02-10,Female
NASAW00013838,1998-06-10,Female
NASAW00013839,1985-08-04,Male
NASAW00013840,1999-02-07,Male
NASAW00013841,1999-04-26,Male
NASAW00013842,1997-10-17,Male
NASAW00013843,1952-06-16,Male
NASAW00013844,1992-11-14,Male
NASAW00013845,1998-07-14,Male
NASAW00013846,1990-09-26,Female
NASAW00013847,1999-03-01,Male
NASAW00013848,1992-11-08,Female
NASAW00013849,1974-07-11,Male
NASAW00013850,1987-01-07,Male
NASAW00013851,1990-09-29,Male
NASAW00013852,2000-07-04,Male
NASAW00013853,1963-02-04,Male
NASAW00013854,1979-01-03,Male
NASAW00013855,1993-10-23,Female
NASAW00013856,2001-05-04,Male
NASAW00013857,1988-12-14,Female
NASAW00013858,1984-04-16,Female
NASAW00013859,1971-12-22,Female
NASAW00013860,1983-11-24,Female
NASAW00013861,1980-09-26,Female
NASAW00013862,1976-05-05,Male
NASAW00013863,1996-02-03,Male
NASAW00013864,1976-05-30,Female
NASAW00013865,1997-10-15,Female
NASAW00013866,2005-10-30,Female
NASAW00013867,1996-06-11,Male
NASAW00013868,1984-12-31,Female
NASAW00013869,1984-10-17,Female
NASAW00013870,2007-10-12,Male
NASAW00013871,1999-11-14,Female
NASAW00013872,1991-12-29,Female
NASAW00013873,2001-05-24,Male
NASAW00013874,1990-05-27,Female
NASAW00013875,1990-01-06,Female
NASAW00013876,1998-04-11,Male
NASAW00013877,1996-08-09,Male
NASAW00013878,2000-12-29,Male
NASAW00013879,1991-06-09,Male
NASAW00013880,1976-03-26,Male
NASAW00013881,1988-04-10,Female
NASAW00013882,1986-08-18,Female
NASAW00013883,1989-03-11,Male
NASAW00013884,1986-09-13,Female
NASAW00013885,2002-11-28,Male
NASAW00013886,1990-07-29,Female
NASAW00013887,1973-10-05,Male
NASAW00013888,1981-02-24,Male
NASAW00013889,2001-06-26,Male
NASAW00013890,1977-09-14,Female
NASAW00013891,2008-03-24,Male
NASAW00013892,1969-06-20,Male
NASAW00013893,1973-03-07,Male
NASAW00013894,1959-08-03,Female
NASAW00013895,1991-12-26,Female
NASAW00013896,2006-12-29,Female
NASAW00013897,2003-12-06,Male
NASAW00013898,1983-08-20,Male
NASAW00013899,1994-12-20,Male
NASAW00013900,1986-11-06,Male
NASAW00013901,1983-10-30,Male
NASAW00013902,2003-02-08,Male
NASAW00013903,2002-02-05,Male
NASAW00013904,1990-09-01,Female
NASAW00013905,1991-03-17,Male
NASAW00013906,1992-07-01,Female
NASAW00013907,1984-07-08,Female
NASAW00013908,1979-09-13,Female
NASAW00013909,1994-09-23,Female
NASAW00013910,1990-06-05,Female
NASAW00013911,1988-08-19,Female
NASAW00013912,2002-01-06,Female
NASAW00013913,1987-08-19,Female
NASAW00013914,1987-10-10,Female
NASAW00013915,1989-01-01,Female
NASAW00013916,1978-02-12,Male
NASAW00013917,1996-07-10,Male
NASAW00013918,1991-12-15,Male
NASAW00013919,1985-06-17,Female
NASAW00013920,2005-08-12,Female
NASAW00013921,1990-09-21,Male
NASAW00013922,1992-11-27,Male
NASAW00013923,1986-10-30,Male
NASAW00013924,1976-04-10,Female
NASAW00013925,1996-05-27,Male
NASAW00013926,1999-01-30,Male
NASAW00013927,1972-04-21,Male
NASAW00013928,1984-09-20,Male
NASAW00013929,1989-04-05,Male
NASAW00013930,2004-02-19,Female
NASAW00013931,1990-09-08,Male
NASAW00013932,1985-08-11,Male
NASAW00013933,1993-11-17,Female
NASAW00013934,1975-10-09,Male
NASAW00013935,1992-05-02,Female
NASAW00013936,1975-02-21,Male
NASAW00013937,1977-09-08,Female
NASAW00013938,1981-10-11,Male
NASAW00013939,1990-07-25,Male
NASAW00013940,1976-08-16,Female
NASAW00013941,1977-04-21,Female
NASAW00013942,1989-01-29,Male
NASAW00013943,1996-06-11,Female
NASAW00013944,2003-03-03,Male
NASAW00013945,1986-02-24,Female
NASAW00013946,1985-12-08,Male
NASAW00013947,2004-12-17,Female
NASAW00013948,1982-10-29,Female
NASAW00013949,1985-04-17,Male
NASAW00013950,1983-09-17,Female
NASAW00013951,1993-12-09,Male
NASAW00013952,1983-04-07,Male
NASAW00013953,1992-06-24,Female
NASAW00013954,1962-08-07,Male
NASAW00013955,1967-03-07,Male
NASAW00013956,1983-07-20,Female
NASAW00013957,2000-03-14,Female
NASAW00013958,1994-08-25,Female
NASAW00013959,1985-03-04,Female
NASAW00013960,1987-03-08,Female
NASAW00013961,1981-09-07,Female
NASAW00013962,1979-05-12,Female
NASAW00013963,1994-02-04,Female
NASAW00013964,1982-04-05,Female
NASAW00013965,1992-09-23,Male
NASAW00013966,1986-09-02,Male
NASAW00013967,1988-04-02,Male
NASAW00013968,1987-12-24,Female
NASAW00013969,1986-04-14,Male
NASAW00013970,1998-07-05,Male
NASAW00013971,1997-05-06,Female
NASAW00013972,1978-03-13,Male
NASAW00013973,2004-10-04,Female
NASAW00013974,1999-08-22,Female
NASAW00013975,1990-03-18,Male
NASAW00013976,1968-03-09,Male
NASAW00013977,1992-01-20,Female
NASAW00013978,1963-06-24,Female
NASAW00013979,1998-05-13,Female
NASAW00013980,1979-06-08,Female
NASAW00013981,1981-03-13,Female
NASAW00013982,1992-05-06,Male
NASAW00013983,1982-12-04,Male
NASAW00013984,2000-06-01,Male
NASAW00013985,1987-10-22,Female
NASAW00013986,1985-12-14,Female
NASAW00013987,1994-06-21,Male
NASAW00013988,1982-01-01,Male
NASAW00013989,1996-12-24,Female
NASAW00013990,1980-10-05,Female
NASAW00013991,1983-07-30,Male
NASAW00013992,1973-07-09,Male
NASAW00013993,1995-06-08,Male
NASAW00013994,2007-06-20,Male
NASAW00013995,1995-11-02,Female
NASAW00013996,1967-03-26,Female
NASAW00013997,2002-01-19,Female
NASAW00013998,1970-01-18,Male
NASAW00013999,1983-02-09,Male
NASAW00014000,2003-04-08,Male
NASAW00014001,1977-01-23,Male
NASAW00014002,1965-01-07,Female
NASAW00014003,2002-07-17,Male
NASAW00014004,1998-08-03,Female
NASAW00014005,2006-05-03,Male
NASAW00014006,1991-11-10,Female
NASAW00014007,2002-07-07,Female
NASAW00014008,1998-05-16,Female
NASAW00014009,2000-10-25,Female
NASAW00014010,1984-11-16,Male
NASAW00014011,1999-08-15,Male
NASAW00014012,1995-12-27,Male
NASAW00014013,1995-12-01,Male
NASAW00014014,1994-11-22,Female
NASAW00014015,2007-08-14,Male
NASAW00014016,1995-04-24,Male
NASAW00014017,1985-09-30,Female
NASAW00014018,1965-01-02,Female
NASAW00014019,2000-10-15,Female
NASAW00014020,1985-08-10,Female
NASAW00014021,1972-09-03,Female
NASAW00014022,1996-12-14,Female
NASAW00014023,1990-12-04,Female
NASAW00014024,1985-09-21,Female
NASAW00014025,1962-06-30,Male
NASAW00014026,2003-02-05,Female
NASAW00014027,1989-05-26,Male
NASAW00014028,2005-08-18,Female
NASAW00014029,1967-12-08,Female
NASAW00014030,1995-02-01,Male
NASAW00014031,1978-03-16,Male
NASAW00014032,1975-09-20,Male
NASAW00014033,1972-10-24,Female
NASAW00014034,1995-04-28,Male
NASAW00014035,2004-04-16,Male
NASAW00014036,2003-07-07,Female
NASAW00014037,1991-04-03,Female
NASAW00014038,1973-12-14,Female
NASAW00014039,2003-10-17,Male
NASAW00014040,1987-11-08,Female
NASAW00014041,1985-08-03,Female
NASAW00014042,2005-02-12,Female
NASAW00014043,1989-08-01,Female
NASAW00014044,1985-12-21,Male
NASAW00014045,1998-12-20,Female
NASAW00014046,1997-05-08,Female
NASAW00014047,1983-02-03,Female
NASAW00014048,1993-12-09,Male
NASAW00014049,2007-07-15,Female
NASAW00014050,1992-03-17,Male
NASAW00014051,2007-10-02,Male
NASAW00014052,1979-06-08,Male
NASAW00014053,2002-03-03,Female
NASAW00014054,1981-11-22,Male
NASAW00014055,1988-07-05,Male
